PMID	Title	Authors	Citation	First.Author	Journal.Book	Publication.Year	Create.Date	PMCID	NIHMS.ID	DOI	Data Available	Open Access	Code Available	Notes
17074949	Dysfunctional prefrontal regional specialization and compensation in schizophrenia	Tan HY, Sust S, Buckholtz JW, Mattay VS, Meyer-Lindenberg A, Egan MF, Weinberger DR, Callicott JH.	Am J Psychiatry. 2006 Nov;163(11):1969-77. doi: 10.1176/ajp.2006.163.11.1969.	Tan HY	Am J Psychiatry	2006	2006/11/01			10.1176/ajp.2006.163.11.1969	True	True	False	On request
25141213	Lead-induced impairments in the neural processes related to working memory function	Seo J, Lee BK, Jin SU, Park JW, Kim YT, Ryeom HK, Lee J, Suh KJ, Kim SH, Park SJ, Jeong KS, Ham JO, Kim Y, Chang Y.	PLoS One. 2014 Aug 20;9(8):e105308. doi: 10.1371/journal.pone.0105308. eCollection 2014.	Seo J	PLoS One	2014	2014/08/21	PMC4139362		10.1371/journal.pone.0105308	False	True	False	
26260309	Brief bursts of infrasound may improve cognitive function--an fMRI study	Weichenberger M, Kühler R, Bauer M, Hensel J, Brühl R, Ihlenfeld A, Ittermann B, Gallinat J, Koch C, Sander T, Kühn S.	Hear Res. 2015 Oct;328:87-93. doi: 10.1016/j.heares.2015.08.001. Epub 2015 Aug 7.	Weichenberger M	Hear Res	2015	2015/08/12			10.1016/j.heares.2015.08.001	False	False	False	
23614459	Structural correlates of impaired working memory in hippocampal sclerosis	Winston GP, Stretton J, Sidhu MK, Symms MR, Thompson PJ, Duncan JS.	Epilepsia. 2013 Jul;54(7):1143-53. doi: 10.1111/epi.12193. Epub 2013 Apr 24.	Winston GP	Epilepsia	2013	2013/04/26	PMC3806272		10.1111/epi.12193	False	True	False	
32848698	Maintenance vs. Manipulation in Auditory Verbal Working Memory in the Elderly: New Insights Based on Temporal Dynamics of Information Processing in the Millisecond Time Range	Jablonska K, Piotrowska M, Bednarek H, Szymaszek A, Marchewka A, Wypych M, Szelag E.	Front Aging Neurosci. 2020 Jul 23;12:194. doi: 10.3389/fnagi.2020.00194. eCollection 2020.	Jablonska K	Front Aging Neurosci	2020	2020/08/28	PMC7396649		10.3389/fnagi.2020.00194	True	True	False	On request
20123468	Disruption of prefrontal function and connectivity in individuals with phenylketonuria	Christ SE, Moffitt AJ, Peck D.	Mol Genet Metab. 2010;99 Suppl 1:S33-40. doi: 10.1016/j.ymgme.2009.09.014.	Christ SE	Mol Genet Metab	2010	2010/02/04			10.1016/j.ymgme.2009.09.014	False	False	False	
12880828	Cognitive effects of nicotine in humans: an fMRI study	Kumari V, Gray JA, ffytche DH, Mitterschiffthaler MT, Das M, Zachariah E, Vythelingum GN, Williams SC, Simmons A, Sharma T.	Neuroimage. 2003 Jul;19(3):1002-13. doi: 10.1016/s1053-8119(03)00110-1.	Kumari V	Neuroimage	2003	2003/07/26			10.1016/s1053-8119(03)00110-1	False	False	False	
27046110	Neural correlates of training and transfer effects in working memory in older adults	Heinzel S, Lorenz RC, Pelz P, Heinz A, Walter H, Kathmann N, Rapp MA, Stelzel C.	Neuroimage. 2016 Jul 1;134:236-249. doi: 10.1016/j.neuroimage.2016.03.068. Epub 2016 Apr 1.	Heinzel S	Neuroimage	2016	2016/04/06			10.1016/j.neuroimage.2016.03.068	False	False	False	
29376200	Intrinsic, stimulus-driven and task-dependent connectivity in human auditory cortex	Häkkinen S, Rinne T.	Brain Struct Funct. 2018 Jun;223(5):2113-2127. doi: 10.1007/s00429-018-1612-6. Epub 2018 Jan 29.	Häkkinen S	Brain Struct Funct	2018	2018/01/30			10.1007/s00429-018-1612-6	False	True	False	
25841662	Failure to deactivate medial prefrontal cortex in people at high risk for psychosis	Falkenberg I, Chaddock C, Murray RM, McDonald C, Modinos G, Bramon E, Walshe M, Broome M, McGuire P, Allen P.	Eur Psychiatry. 2015 Jul;30(5):633-40. doi: 10.1016/j.eurpsy.2015.03.003. Epub 2015 Apr 1.	Falkenberg I	Eur Psychiatry	2015	2015/04/06			10.1016/j.eurpsy.2015.03.003	False	False	False	
