PMID	Title	Authors	Citation	First.Author	Journal.Book	Publication.Year	Create.Date	PMCID	NIHMS.ID	DOI	Data Available	Open Access	Code Available	Notes
15784437	Dissociation of cortical regions modulated by both working memory load and sleep deprivation and by sleep deprivation alone	"Choo WC, Lee WW, Venkatraman V, Sheu FS, Chee MW."	Neuroimage. 2005 Apr 1;25(2):579-87. doi: 10.1016/j.neuroimage.2004.11.029. Epub 2005 Jan 27.	Choo WC	Neuroimage	2005	2005/03/24			10.1016/j.neuroimage.2004.11.029	FALSE	TRUE	FALSE	
25383262	Unique and interactive effect of anxiety and depressive symptoms on cognitive and brain function in young and older adults	"Dotson VM, Szymkowicz SM, Kirton JW, McLaren ME, Green ML, Rohani JY."	J Depress Anxiety. 2014 Jan 24;Suppl 1:22565. doi: 10.4172/2167-1044.S1-003.	Dotson VM	J Depress Anxiety	2014	2014/11/11	PMC4222514	NIHMS562253	10.4172/2167-1044.S1-003	FALSE	TRUE	FALSE	
26082694	Transfer of training from one working memory task to another: behavioural and neural evidence	"Beatty EL, Jobidon ME, Bouak F, Nakashima A, Smith I, Lam Q, Blackler K, Cheung B, Vartanian O."	Front Syst Neurosci. 2015 Jun 2;9:86. doi: 10.3389/fnsys.2015.00086. eCollection 2015.	Beatty EL	Front Syst Neurosci	2015	2015/06/18	PMC4451342		10.3389/fnsys.2015.00086	FALSE	TRUE	FALSE	
27199694	Mapping of the Underlying Neural Mechanisms of Maintenance and Manipulation in Visuo-Spatial Working Memory Using An n-back Mental Rotation Task: A Functional Magnetic Resonance Imaging Study	"Lamp G, Alexander B, Laycock R, Crewther DP, Crewther SG."	Front Behav Neurosci. 2016 May 6;10:87. doi: 10.3389/fnbeh.2016.00087. eCollection 2016.	Lamp G	Front Behav Neurosci	2016	2016/05/21	PMC4858518		10.3389/fnbeh.2016.00087	FALSE	TRUE	FALSE	
19018317	The effects of alcohol intoxication on neuronal activation at different levels of cognitive load	"Gundersen H, Grüner R, Specht K, Hugdahl K."	Open Neuroimag J. 2008;2:65-72. doi: 10.2174/1874440000802010065. Epub 2008 Aug 22.	Gundersen H	Open Neuroimag J	2008	2008/11/20	PMC2577939		10.2174/1874440000802010065	FALSE	TRUE	FALSE	
21733286	First-episode psychosis is characterized by failure of deactivation but not by hypo- or hyperfrontality	"Guerrero-Pedraza A, McKenna PJ, Gomar JJ, Sarró S, Salvador R, Amann B, Carrión MI, Landin-Romero R, Blanch J, Pomarol-Clotet E."	Psychol Med. 2012 Jan;42(1):73-84. doi: 10.1017/S0033291711001073. Epub 2011 Jul 7.	Guerrero-Pedraza A	Psychol Med	2012	2011/07/08			10.1017/S0033291711001073	FALSE	TRUE	FALSE	
24589297	Relationship between working-memory network function and substance use: a 3-year longitudinal fMRI study in heavy cannabis users and controls	"Cousijn J, Vingerhoets WA, Koenders L, de Haan L, van den Brink W, Wiers RW, Goudriaan AE."	Addict Biol. 2014 Mar;19(2):282-93. doi: 10.1111/adb.12111. Epub 2013 Nov 25.	Cousijn J	Addict Biol	2014	2014/03/05			10.1111/adb.12111	FALSE	TRUE	FALSE	
30308378	Effect of GHB-use and GHB-induced comas on dorsolateral prefrontal cortex functioning in humans	"Raposo Pereira F, McMaster MTB, Polderman N, de Vries YDAT, van den Brink W, van Wingen GA."	Neuroimage Clin. 2018;20:923-930. doi: 10.1016/j.nicl.2018.09.022. Epub 2018 Sep 26.	Raposo Pereira F	Neuroimage Clin	2018	2018/10/12	PMC6178194		10.1016/j.nicl.2018.09.022	FALSE	TRUE	FALSE	
21591026	"The less BOLD, the wiser: support for the latent resource hypothesis after traumatic brain injury"	"Medaglia JD, Chiou KS, Slocomb J, Fitzpatrick NM, Wardecker BM, Ramanathan D, Vesek J, Good DC, Hillary FG."	Hum Brain Mapp. 2012 Apr;33(4):979-93. doi: 10.1002/hbm.21264. Epub 2011 May 17.	Medaglia JD	Hum Brain Mapp	2012	2011/05/19	PMC6870270		10.1002/hbm.21264	FALSE	TRUE	FALSE	
26946337	Functional Magnetic Resonance Imaging of Working Memory and Executive Dysfunction in Systemic Lupus Erythematosus and Antiphospholipid Antibody-Positive Patients	"Kozora E, Uluğ AM, Erkan D, Vo A, Filley CM, Ramon G, Burleson A, Zimmerman R, Lockshin MD."	Arthritis Care Res (Hoboken). 2016 Nov;68(11):1655-1663. doi: 10.1002/acr.22873.	Kozora E	Arthritis Care Res (Hoboken)	2016	2016/03/07			10.1002/acr.22873	FALSE	TRUE	FALSE	
