,DOI,File,Score
0,10.1111/cdev.13080,Yaple and Arsalidou - 2018 - N-back Working Memory Task Meta-analysis of Norma.pdf,0
1,10.3390/brainsci11030401,Assari et al. - 2021 - Parental Education and Left Lateral Orbitofrontal .pdf,1
2,10.1111/jnp.12076,Dores et al. - 2017 - Study of behavioural and neural bases of visuo-spa.pdf,0
3,10.3389/fnhum.2014.00593,Manelis and Reder - 2014 - Effective connectivity among the working memory re.pdf,0
4,10.1371/journal.pone.0135468,Jiang et al. - 2015 - Cerebral Inefficient Activation in Schizophrenia P.pdf,1
5,10.3389/fnbeh.2021.657264,Verhallen et al. - 2021 - Working Memory Alterations After a Romantic Relati.pdf,1
6,10.1016/j.biopsycho.2008.03.006,Blokland et al. - 2008 - Quantifying the heritability of task-related brain.pdf,0
7,10.1017/S0033291720000471,Kowalczyk et al. - 2021 - Neurocognitive correlates of working memory and em.pdf,0
8,10.1016/j.nicl.2021.102747,Yaple et al. - 2021 - Mapping working memory-specific dysfunction using .pdf,0
9,10.1007/s10548-021-00876-8,Forsyth et al. - 2021 - Effects of Ketamine and Midazolam on Simultaneous .pdf,1
10,10.1093/cercor/bhaa350,Gu et al. - 2021 - Temporal Dynamics of Functional Brain States Under.pdf,0
11,10.1007/s11682-021-00452-5,Vannest et al. - 2021 - Altered functional network connectivity and workin.pdf,0
12,10.1002/hbm.24633,"Mencarelli et al. - 2019 - Stimuli, presentation modality, and load-specific .pdf",0
13,10.1088/1741-2552/aaefda,Jonmohamadi et al. - 2019 - Constrained temporal parallel decomposition for EE.pdf,0
14,10.1016/j.neuroimage.2021.117795,Meidenbauer et al. - 2021 - Load-dependent relationships between frontal fNIRS.pdf,0
15,10.1016/j.nicl.2019.102015,Syan et al. - 2019 - Deficits in executive function and suppression of .pdf,0
16,10.3758/s13415-021-00908-7,Sharma et al. - 2021 - The regulatory roles of progesterone and estradiol.pdf,0
17,10.1162/jocn_a_01759,Lin et al. - 2021 - Functional Connectivity during Encoding Predicts I.pdf,0
18,10.1523/JNEUROSCI.2841-19.2020,Rosenberg et al. - 2020 - Behavioral and Neural Signatures of Working Memory.pdf,0
19,10.1109/JBHI.2019.2925710,Kassani et al. - 2020 - Multimodal Sparse Classifier for Adolescent Brain .pdf,0
20,10.1176/appi.ajp.2012.12030385,Baller et al. - 2013 - Abnormalities of dorsolateral prefrontal function .pdf,0
21,10.1038/s41593-021-00867-9,Chaarani et al. - 2021 - Baseline brain function in the preadolescents of t.pdf,7
22,10.1007/s11682-017-9728-5,Vardy et al. - 2019 - A mechanistic cohort study evaluating cognitive im.pdf,0
23,10.1016/j.nicl.2022.102936,Bruijel et al. - 2022 - Task-induced subjective fatigue and resting-state .pdf,1
24,10.1007/s00213-006-0334-2,Rose et al. - 2006 - The effects of escitalopram on working memory and .pdf,0
25,10.3389/fpsyg.2020.579188,Wylie et al. - 2020 - Using Signal Detection Theory to Better Understand.pdf,1
26,10.1093/cercor/bhaa243,Boylan et al. - 2021 - Greater BOLD Variability is Associated With Poorer.pdf,0
27,10.1016/j.dib.2020.105801,Lytle et al. - 2020 - A neuroimaging dataset on working memory and rewar.pdf,0
28,10.1159/000352011,Cremaschi et al. - 2013 - Assessing working memory via N-back task in euthym.pdf,0
29,10.3389/fnbeh.2016.00087,Lamp et al. - 2016 - Mapping of the Underlying Neural Mechanisms of Mai.pdf,0
30,10.1017/S0033291720001063,Fuentes-Claramonte et al. - 2021 - Brain functional correlates of formal thought diso.pdf,0
31,10.1093/schbul/sbab086,Wu et al. - 2022 - Imbalance Between Prefronto-Thalamic and Sensorimo.pdf,0
32,10.3389/fneur.2018.00370,Lahr et al. - 2018 - Working Memory-Related Effective Connectivity in H.pdf,0
33,10.1016/j.pscychresns.2015.01.022,Israel et al. - 2015 - n-back task performance and corresponding brain-ac.pdf,0
34,10.1017/S1355617718001170,"Conklin et al. - 2019 - Cognitive Performance, Aerobic Fitness, Motor Prof.pdf",0
35,10.1016/j.neurobiolaging.2019.12.014,Konishi et al. - 2020 - Impact of BDNF and sex on maintaining intact memor.pdf,0
36,10.1038/s41386-020-00901-7,Ott et al. - 2021 - Change in prefrontal activity and executive functi.pdf,0
37,10.1016/j.mri.2015.10.036,James et al. - 2016 - A human brain atlas derived via n-cut parcellation.pdf,0
38,10.1002/hbm.25164,Salmi et al. - 2020 - Working memory training restores aberrant brain ac.pdf,0
39,10.1177/1352458516656809,Vacchi et al. - 2017 - Working memory network dysfunction in relapse-onse.pdf,0
40,10.1007/s00429-016-1271-4,Bregman et al. - 2017 - A cognitive fMRI study in non-manifesting LRRK2 an.pdf,0
41,10.1007/s11682-020-00269-8,Gimbel et al. - 2021 - Brain bases of recovery following cognitive rehabi.pdf,0
42,10.3390/brainsci9060144,Duman et al. - 2019 - Uncovering Dynamic Brain Reconfiguration in MEG Wo.pdf,1
43,10.1002/brb3.2105,Stark et al. - 2021 - Using functional connectivity models to characteri.pdf,0
44,10.1002/hbm.23603,Delaveau et al. - 2017 - Default mode and task-positive networks connectivi.pdf,0
45,10.1016/j.schres.2013.11.026,Sapara et al. - 2014 - Preservation and compensation the functional neur.pdf,0
46,10.1162/jocn_a_01685,Rieck et al. - 2021 - Contributions of Brain Function and Structure to T.pdf,0
47,10.2147/CIA.S183425,Lau et al. - 2019 - Relationships between dietary nutrients intake and.pdf,0
48,10.3390/brainsci10080520,Assari et al. - 2020 - Family Income Mediates the Effect of Parental Educ.pdf,0
49,10.1007/s13365-017-0607-z,Cohen et al. - 2018 - Neural response to working memory demand predicts .pdf,0
50,10.1016/j.neuroimage.2018.10.055,Gu et al. - 2019 - Regional excitation-inhibition balance predicts de.pdf,0
51,10.1162/jocn_a_00916,Thompson et al. - 2016 - Intensive Working Memory Training Produces Functio.pdf,0
52,10.1093/cercor/bhaa400,Andin et al. - 2021 - Working Memory for Signs with Poor Visual Resoluti.pdf,0
53,10.1080/13803395.2014.953039,Jacola et al. - 2014 - Clinical utility of the N-back task in functional .pdf,0
54,10.1111/adb.12111,Cousijn et al. - 2014 - Relationship between working-memory network functi.pdf,0
55,10.1016/j.brainres.2016.10.027,Moisala et al. - 2017 - Gaming is related to enhanced working memory perfo.pdf,0
56,10.1111/j.1467-9450.2010.00808.x,Beneventi et al. - 2010 - Executive working memory processes in dyslexia be.pdf,0
57,10.3389/fpsyg.2010.00202,Alain et al. - 2010 - Dissociable memory- and response-related activity .pdf,0
58,10.1017/S0033291721005250,Wilkinson et al. - 2022 - In memory of Professor Iain Wilkinson cognitive a.pdf,0
59,10.1001/jamapsychiatry.2019.0020,Pornpattananangkul et al. - 2019 - Association Between Childhood Anhedonia and Altera.pdf,0
60,10.1371/journal.pone.0131536,Luis et al. - 2015 - Successful Working Memory Processes and Cerebellum.pdf,1
61,10.1162/jocn_a_01685,Rieck et al. - 2021 - Contributions of Brain Function and Structure to T.pdf,0
62,10.1155/2019/2657902,Aguirre et al. - 2019 - Repeated Working Memory Training Improves Task Per.pdf,1
63,10.1017/S135561771400054X,Kearney-Ramos et al. - 2014 - Merging clinical neuropsychology and functional ne.pdf,0
64,10.1016/j.brainres.2019.146303,"Konishi et al. - 2019 - Impact of adrenal hormones, reproductive aging, an.pdf",0
65,10.1016/j.neuroimage.2017.12.067,Jung et al. - 2018 - Effective connectivity during working memory and r.pdf,0
66,10.1007/s10548-020-00787-0,Jonmohamadi et al. - 2020 - Extraction of Common Task Features in EEG-fMRI Dat.pdf,0
67,10.1038/tp.2015.107,Urbain et al. - 2015 - Atypical spatiotemporal signatures of working memo.pdf,0
68,10.3389/fpsyg.2017.00056,Wu et al. - 2017 - Task Performance Modulates Functional Connectivity.pdf,0
69,10.1093/cercor/bhm054,Koshino et al. - 2008 - fMRI investigation of working memory for faces in .pdf,0
70,10.1007/s13365-019-00792-5,"Heany et al. - 2020 - Neural correlates of maintenance working memory, a.pdf",0
71,10.1002/hbm.22230,Gordon et al. - 2014 - Working memory-related changes in functional conne.pdf,0
72,10.3389/fnhum.2021.771711,Blomberg et al. - 2021 - The Effects of Working Memory Load on Auditory Dis.pdf,1
73,10.1016/j.yebeh.2018.04.022,Oyegbile et al. - 2018 - Executive dysfunction is associated with an altere.pdf,0
74,10.1016/j.jpsychires.2012.01.008,Brown et al. - 2012 - Working memory network alterations and associated .pdf,0
75,10.3389/fnbeh.2016.00138,Sherwood et al. - 2016 - Combining Real-Time fMRI Neurofeedback Training of.pdf,0
76,10.1038/s41380-021-01320-w,Wolf et al. - 2021 - Effect of mGluR2 positive allosteric modulation on.pdf,0
77,10.1186/s12883-021-02366-7,Kawashima et al. - 2021 - Impairment of the visuospatial working memory in t.pdf,0
78,10.1111/bdi.13100,Zarp Petersen et al. - 2022 - Neuronal underpinnings of cognitive impairment in .pdf,0
79,10.1017/S1355617721000424,Thomas et al. - 2021 - Detecting the Inverted-U in fMRI Studies of Schizo.pdf,0
80,10.1002/hbm.20783,Schmidt et al. - 2009 - No gender differences in brain activation during t.pdf,0
81,10.1159/000343201,Yin et al. - 2013 - Spatial working memory impairment in subclinical h.pdf,0
82,10.1007/s11682-017-9724-9,Sours et al. - 2018 - Altered segregation between task-positive and task.pdf,1
83,10.1111/epi.12193,Winston et al. - 2013 - Structural correlates of impaired working memory i.pdf,0
84,10.1111/ejn.15532,Xu et al. - 2021 - Substantia nigra iron affects functional connectiv.pdf,0
85,10.1111/adb.13003,Cousijn et al. - 2021 - Sex-dependent prefrontal cortex activation in regu.pdf,0
86,10.3899/jrheum.160290,Zhu et al. - 2017 - Spatial Working Memory Impairment in Patients with.pdf,0
87,10.1289/ehp.1002529,Tang et al. - 2011 - Occupational solvent exposure and brain function .pdf,0
88,10.1523/JNEUROSCI.1426-13.2013,Burzynska et al. - 2013 - A scaffold for efficiency in the human brain..pdf,0
89,10.1007/s11682-016-9608-4,Correa et al. - 2017 - Brain structure and function in patients with ovar.pdf,0
90,10.1111/bdi.12767,Alonso-Lana et al. - 2019 - Longitudinal brain functional changes between mani.pdf,0
91,10.1111/ene.14957,Kobeleva et al. - 2021 - Brain activity is contingent on neuropsychological.pdf,0
92,10.1016/j.jad.2020.05.022,Cl et al. - 2020 - The neural basis of hot and cold cognition in depr.pdf,0
93,10.1371/journal.pone.0213070,Dehghan Nayyeri et al. - 2019 - Impact of pressure as a tactile stimulus on workin.pdf,1
94,10.1002/jnr.25023,Chai et al. - 2022 - Neural alterations in working memory of mild-moder.pdf,0
95,10.1016/j.neuroimage.2016.08.066,Frangou et al. - 2017 - Towards person-centered neuroimaging markers for r.pdf,0
96,10.1016/j.eurpsy.2013.02.004,Bleich-Cohen et al. - 2014 - Working memory dysfunction in schizophrenia patien.pdf,0
97,10.1037/pha0000197,Flanagan et al. - 2018 - Effects of oxytocin on working memory and executiv.pdf,0
98,10.4172/2167-1044.S1-003,Dotson et al. - 2014 - Unique and interactive effect of anxiety and depre.pdf,0
99,10.3389/fnagi.2020.00194,Jablonska et al. - 2020 - Maintenance vs. Manipulation in Auditory Verbal Wo.pdf,1
100,10.1016/j.nicl.2015.12.003,Mattfeld et al. - 2016 - Dissociation of working memory impairments and att.pdf,0
101,10.1007/s11682-019-00137-0,de Oliveira Rosa et al. - 2020 - Effects of computerized cognitive training as add-.pdf,0
102,10.1002/gps.4482,Dev et al. - 2017 - Peripheral inflammation related to lower fMRI acti.pdf,0
103,10.3389/fnbeh.2017.00058,Manktelow et al. - 2017 - Working Memory after Traumatic Brain Injury The N.pdf,0
104,10.1523/JNEUROSCI.2305-15.2016,Salminen et al. - 2016 - Transfer after Dual n-Back Training Depends on Str.pdf,0
105,10.1111/ejn.15473,Steffener et al. - 2021 - Quantifying neural efficiency and neural capacity .pdf,0
106,10.1038/s41467-020-15631-z,Finc et al. - 2020 - Dynamic reconfiguration of functional brain networ.pdf,1
107,10.1016/j.nicl.2017.10.039,Heinzel et al. - 2018 - Neural correlates of working memory deficits and a.pdf,0
108,10.1038/npp.2013.24,Wardle et al. - 2013 - Lack of association between COMT and working memor.pdf,0
109,10.1371/journal.pone.0113975,Kalpakidou et al. - 2014 - Functional neuroanatomy of executive function afte.pdf,1
110,10.1016/j.psyneuen.2011.07.007,Epperson et al. - 2012 - Interactive effects of estrogen and serotonin on b.pdf,0
111,10.3389/fpsyt.2018.00071,Zanchi et al. - 2018 - Acute Effects of Glucose and Fructose Administrati.pdf,1
112,10.1007/s12311-019-01094-6,Shishegar et al. - 2020 - Longitudinal Increases in Cerebral Brain Activatio.pdf,0
113,10.1002/hbm.21264,"Medaglia et al. - 2012 - The less BOLD, the wiser support for the latent r.pdf",0
114,10.1523/JNEUROSCI.3081-12.2013,Bilek et al. - 2013 - Application of high-frequency repetitive transcran.pdf,0
115,10.3389/fnagi.2019.00300,Emch et al. - 2019 - Neural and Behavioral Effects of an Adaptive Onlin.pdf,1
116,10.1007/s11682-020-00383-7,Huang et al. - 2021 - Abnormal brain activity patterns during spatial wo.pdf,0
117,10.1016/j.neuroimage.2020.116544,Rodrigue et al. - 2020 - Striatal iron content is linked to reduced fronto-.pdf,0
118,10.1002/jmri.24967,Huang et al. - 2016 - Spatial working memory impairment in primary onset.pdf,0
119,10.3389/fnhum.2014.00954,Stanley et al. - 2014 - Changes in global and regional modularity associat.pdf,0
120,10.3389/fnins.2019.01246,Nielsen et al. - 2019 - Whole-Brain Exploratory Analysis of Functional Tas.pdf,1
121,10.1007/s10548-017-0552-4,Sotnikova et al. - 2017 - Transcranial Direct Current Stimulation Modulates .pdf,0
122,10.1016/j.eurpsy.2015.03.003,Falkenberg et al. - 2015 - Failure to deactivate medial prefrontal cortex in .pdf,0
123,10.1007/s13365-014-0305-z,Sundermann et al. - 2015 - Genetic predictor of working memory and prefrontal.pdf,0
124,10.3389/fpsyt.2020.512761,Brooks et al. - 2020 - Review of the Neural Processes of Working Memory T.pdf,0
125,10.1002/hbm.24912,Di et al. - 2020 - Anterior cingulate cortex differently modulates fr.pdf,0
126,10.1523/JNEUROSCI.2965-15.2016,Cohen and D'Esposito - 2016 - The Segregation and Integration of Distinct Brain .pdf,0
127,10.1002/hbm.25678,Fietz et al. - 2022 - Pupillometry tracks cognitive load and salience ne.pdf,0
128,10.1016/j.neuropsychologia.2014.06.009,Sabri et al. - 2014 - Neural effects of cognitive control load on audito.pdf,0
129,10.1016/j.nicl.2020.102308,Sinke et al. - 2020 - Sexual cues alter working memory performance and b.pdf,0
130,10.4306/pi.2012.9.3.283,Kim et al. - 2012 - Changes in effective connectivity according to wor.pdf,0
131,10.1038/s41598-020-66058-x,Bak et al. - 2020 - Altered neural substrates within cognitive network.pdf,1
132,10.1523/JNEUROSCI.3206-04.2004,Kumari et al. - 2004 - Personality predicts brain responses to cognitive .pdf,0
133,10.3389/fnhum.2014.00076,Fishburn et al. - 2014 - Sensitivity of fNIRS to cognitive state and load..pdf,0
134,10.3389/fneur.2015.00199,Schmidt et al. - 2015 - Pushing the Limits Chronotype and Time of Day Mod.pdf,0
135,10.1016/j.nicl.2018.09.022,Raposo Pereira et al. - 2018 - Effect of GHB-use and GHB-induced comas on dorsola.pdf,0
136,10.3389/fpsyt.2019.00611,Towlson et al. - 2019 - Brain Networks Reveal the Effects of Antipsychotic.pdf,2
137,10.1016/j.bandc.2013.02.007,Nagel et al. - 2013 - Hemispheric lateralization of verbal and spatial w.pdf,0
138,10.1523/JNEUROSCI.1493-18.2018,Salami et al. - 2019 - Dopamine D(23) Binding Potential Modulates Neural.pdf,0
139,10.1002/pchj.134,Hammar et al. - 2016 - Striatal hypoactivation and cognitive slowing in p.pdf,0
140,10.3389/fneur.2015.00078,Hubacher et al. - 2015 - Case-Based fMRI Analysis after Cognitive Rehabilit.pdf,0
141,10.1089/neu.2018.5737,Yuan et al. - 2019 - Impact of Low-Level Blast Exposure on Brain Functi.pdf,0
142,10.1016/j.neuroimage.2020.117309,Zachariou et al. - 2020 - Cortical iron disrupts functional connectivity net.pdf,0
