"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"2I3DNGF2","journalArticle","2018","Yaple, Zachary; Arsalidou, Marie","N-back Working Memory Task: Meta-analysis of Normative fMRI Studies With Children.","Child development","","1467-8624 0009-3920","10.1111/cdev.13080","","The n-back task is likely the most popular measure of working memory for functional magnetic resonance imaging (fMRI) studies. Despite accumulating neuroimaging studies  with the n-back task and children, its neural representation is still unclear. fMRI  studies that used the n-back were compiled, and data from children up to 15 years  (n = 260) were analyzed using activation likelihood estimation. Results show  concordance in frontoparietal regions recognized for their role in working memory as  well as regions not typically highlighted as part of the working memory network,  such as the insula. Findings are discussed in terms of developmental methodology and  potential contribution to developmental theories of cognition.","2018-11","2022-03-04 19:25:11","2022-03-04 19:25:11","","2010-2022","","6","89","","Child Dev","","","","","","","","eng","© 2018 Society for Research in Child Development.","","","","","","Place: United States PMID: 29732553","","C:\Users\User\Zotero\storage\KL2TZ6MN\Yaple and Arsalidou - 2018 - N-back Working Memory Task Meta-analysis of Norma.pdf","","Humans; Female; Male; Child; Adolescent; Child, Preschool; Brain Mapping; Brain/physiology; Cerebral Cortex/physiology; Cognition/physiology; Magnetic Resonance Imaging/methods; Memory, Short-Term/*physiology; Psychological Tests","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MYQ8VW85","journalArticle","2019","Yaple, Zachary A.; Stevens, W. Dale; Arsalidou, Marie","Meta-analyses of the n-back working memory task: fMRI evidence of age-related changes in prefrontal cortex involvement across the adult lifespan.","NeuroImage","","1095-9572 1053-8119","10.1016/j.neuroimage.2019.03.074","","Working memory, a fundamental cognitive function that is highly dependent on the integrity of the prefrontal cortex, is known to show age-related decline across the  typical healthy adult lifespan. Moreover, we know from work in neurophysiology that  the prefrontal cortex is disproportionately susceptibly to the pathological effects  of aging. The n-back task is arguably the most ubiquitous cognitive task for  investigating working memory performance. Many functional magnetic resonance imaging  (fMRI) studies examine brain regions engaged during performance of the n-back task  in adults. The current meta-analyses are the first to examine concordance and  age-related changes across the healthy adult lifespan in brain areas engaged when  performing the n-back task. We compile data from eligible fMRI articles that report  stereotaxic coordinates of brain activity from healthy adults in three age-groups:  young (23.57 ± 5.63 years), middle-aged (38.13 ± 5.63 years) and older (66.86 ± 5.70  years) adults. Findings show that the three groups share concordance in the  engagement of parietal and cingulate cortices, which have been consistently  identified as core areas involved in working memory; as well as the insula,  claustrum, and cerebellum, which have not been highlighted as areas involved in  working memory. Critically, prefrontal cortex engagement is concordant for young, to  a lesser degree for middle-aged adults, and absent in older adults, suggesting a  gradual linear decline in concordance of prefrontal cortex engagement. Our results  provide important new knowledge for improving methodology and theories of cognition  across the lifespan.","2019-08-01","2022-03-04 19:25:11","2022-03-04 19:25:11","","16-31","","","196","","Neuroimage","","","","","","","","eng","Copyright © 2019 Elsevier Inc. All rights reserved.","","","","","","Place: United States PMID: 30954708","","","","Humans; Female; Male; Adult; Aged; Middle Aged; Young Adult; Brain Mapping; Brain/physiology; Memory, Short-Term/*physiology; *Longevity; Magnetic Resonance Imaging; Neuropsychological Tests; Prefrontal Cortex/*physiology; Reaction Time","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"R6NRPBXV","journalArticle","2017","Müller, Veronika I.; Cieslik, Edna C.; Serbanescu, Ilinca; Laird, Angela R.; Fox, Peter T.; Eickhoff, Simon B.","Altered Brain Activity in Unipolar Depression Revisited: Meta-analyses of Neuroimaging Studies.","JAMA psychiatry","","2168-6238 2168-622X","10.1001/jamapsychiatry.2016.2783","","IMPORTANCE: During the past 20 years, numerous neuroimaging experiments have investigated aberrant brain activation during cognitive and emotional processing in  patients with unipolar depression (UD). The results of those investigations,  however, vary considerably; moreover, previous meta-analyses also yielded  inconsistent findings. OBJECTIVE: To readdress aberrant brain activation in UD as  evidenced by neuroimaging experiments on cognitive and/or emotional processing. DATA  SOURCES: Neuroimaging experiments published from January 1, 1997, to October 1,  2015, were identified by a literature search of PubMed, Web of Science, and Google  Scholar using different combinations of the terms fMRI (functional magnetic  resonance imaging), PET (positron emission tomography), neural, major depression,  depression, major depressive disorder, unipolar depression, dysthymia, emotion,  emotional, affective, cognitive, task, memory, working memory, inhibition, control,  n-back, and Stroop. STUDY SELECTION: Neuroimaging experiments (using fMRI or PET)  reporting whole-brain results of group comparisons between adults with UD and  healthy control individuals as coordinates in a standard anatomic reference space  and using an emotional or/and cognitive challenging task were selected. DATA  EXTRACTION AND SYNTHESIS: Coordinates reported to show significant activation  differences between UD and healthy controls during emotional or cognitive processing  were extracted. By using the revised activation likelihood estimation algorithm,  different meta-analyses were calculated. MAIN OUTCOMES AND MEASURES: Meta-analyses  tested for brain regions consistently found to show aberrant brain activation in UD  compared with controls. Analyses were calculated across all emotional processing  experiments, all cognitive processing experiments, positive emotion processing,  negative emotion processing, experiments using emotional face stimuli, experiments  with a sex discrimination task, and memory processing. All meta-analyses were  calculated across experiments independent of reporting an increase or decrease of  activity in major depressive disorder. For meta-analyses with a minimum of 17  experiments available, separate analyses were performed for increases and decreases.  RESULTS: In total, 57 studies with 99 individual neuroimaging experiments comprising  in total 1058 patients were included; 34 of them tested cognitive and 65 emotional  processing. Overall analyses across cognitive processing experiments (P > .29) and  across emotional processing experiments (P > .47) revealed no significant results.  Similarly, no convergence was found in analyses investigating positive (all  P > .15), negative (all P > .76), or memory (all P > .48) processes. Analyses that  restricted inclusion of confounds (eg, medication, comorbidity, age) did not change  the results. CONCLUSIONS AND RELEVANCE: Inconsistencies exist across individual  experiments investigating aberrant brain activity in UD and replication problems  across previous neuroimaging meta-analyses. For individual experiments, these  inconsistencies may relate to use of uncorrected inference procedures, differences  in experimental design and contrasts, or heterogeneous clinical populations;  meta-analytically, differences may be attributable to varying inclusion and  exclusion criteria or rather liberal statistical inference approaches.","2017-01-01","2022-03-04 19:25:11","2022-03-04 19:25:11","","47-55","","1","74","","JAMA Psychiatry","","","","","","","","eng","","","","","","","PMID: 27829086  PMCID: PMC5293141","","C:\Users\User\Zotero\storage\QA848MIW\Müller et al. - 2017 - Altered Brain Activity in Unipolar Depression Revi.pdf","","Humans; Adult; Brain Mapping; Cognition/physiology; *Functional Neuroimaging; *Magnetic Resonance Imaging; Arousal/physiology; Brain/*physiopathology; Depressive Disorder, Major/diagnosis/*physiopathology/psychology; Depressive Disorder/diagnosis/*physiopathology/psychology; Emotions/physiology; Likelihood Functions; Reference Values; Synaptic Transmission/physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZXU27UQ","journalArticle","2021","Assari, Shervin; Boyce, Shanika; Saqib, Mohammed; Bazargan, Mohsen; Caldwell, Cleopatra H.","Parental Education and Left Lateral Orbitofrontal Cortical Activity during N-Back Task: An fMRI Study of American Adolescents.","Brain sciences","","2076-3425","10.3390/brainsci11030401","","Introduction. The Orbitofrontal Cortex (OFC) is a cortical structure that has implications in cognition, memory, reward anticipation, outcome evaluation, decision  making, and learning. As such, OFC activity correlates with these cognitive brain  abilities. Despite research suggesting race and socioeconomic status (SES)  indicators such as parental education may be associated with OFC activity, limited  knowledge exists on multiplicative effects of race and parental education on OFC  activity and associated cognitive ability. Purpose. Using functional brain imaging  data from the Adolescent Brain Cognitive Development (ABCD) study, we tested the  multiplicative effects of race and parental education on left lateral OFC activity  during an N-Back task. In our study, we used a sociological rather than biological  theory that conceptualizes race and SES as proxies of access to the opportunity  structure and exposure to social adversities rather than innate and non-modifiable  brain differences. We explored racial variation in the effect of parental  educational attainment, a primary indicator of SES, on left lateral OFC activity  during an N-Back task between Black and White 9-10 years old adolescents. Methods.  The ABCD study is a national, landmark, multi-center brain imaging investigation of  American adolescents. The total sample was 4290 9-10 years old Black or White  adolescents. The independent variables were SES indicators, namely family income,  parental education, and neighborhood income. The primary outcome was the average  beta weight for N-Back (2 back versus 0 back contrast) in ASEG ROI left OFC  activity, measured by functional Magnetic Resonance Imaging (fMRI) during an N-Back  task. Ethnicity, age, sex, subjective SES, and family structure were the study  covariates. For data analysis, we used linear regression models. Results. In White  but not Black adolescents, parental education was associated with higher left  lateral OFC activity during the N-Back task. In the pooled sample, we found a  significant interaction between race and parental education on the outcome,  suggesting that high parental education is associated with a larger increase in left  OFC activity of White than Black adolescents. Conclusions. For American adolescents,  race and SES jointly influence left lateral OFC activity correlated with cognition,  memory, decision making, and learning. Given the central role of left lateral OFC  activity in learning and memory, our finding calls for additional research on  contextual factors that reduce the gain of SES for Black adolescents. Cognitive  inequalities are not merely due to the additive effects of race and SES but also its  multiplicative effects.","2021-03-22","2022-03-04 19:25:11","2022-03-04 19:25:11","","","","3","11","","Brain Sci","","","","","","","","eng","","","","","","","PMID: 33809905  PMCID: PMC8004246","","C:\Users\User\Zotero\storage\72KZLGUB\Assari et al. - 2021 - Parental Education and Left Lateral Orbitofrontal .pdf","","adolescents; brain development; cognitive; fMRI; learning; memory; N-Back; orbitofrontal cortex; population groups; socioeconomic factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D4Z3I3NV","journalArticle","2017","Dores, Artemisa R.; Barbosa, Fernando; Carvalho, Irene P.; Almeida, Isabel; Guerreiro, Sandra; da Rocha, Benedita M.; de Sousa, Liliana; Castro-Caldas, Alexandre","Study of behavioural and neural bases of visuo-spatial working memory with an fMRI paradigm based on an n-back task.","Journal of neuropsychology","","1748-6653 1748-6645","10.1111/jnp.12076","","The goal of this study was to propose a new functional magnetic resonance imaging (fMRI) paradigm using a language-free adaptation of a 2-back working memory task to  avoid cultural and educational bias. We additionally provide an index of the  validity of the proposed paradigm and test whether the experimental task  discriminates the behavioural performances of healthy participants from those of  individuals with working memory deficits. Ten healthy participants and nine patients  presenting working memory (WM) deficits due to acquired brain injury (ABI) performed  the developed task. To inspect whether the paradigm activates brain areas typically  involved in visual working memory (VWM), brain activation of the healthy  participants was assessed with fMRIs. To examine the task's capacity to discriminate  behavioural data, performances of the healthy participants in the task were compared  with those of ABI patients. Data were analysed with GLM-based random effects  procedures and t-tests. We found an increase of the BOLD signal in the specialized  areas of VWM. Concerning behavioural performances, healthy participants showed the  predicted pattern of more hits, less omissions and a tendency for fewer false  alarms, more self-corrected responses, and faster reaction times, when compared with  subjects presenting WM impairments. The results suggest that this task activates  brain areas involved in VWM and discriminates behavioural performances of clinical  and non-clinical groups. It can thus be used as a research methodology for  behavioural and neuroimaging studies of VWM in block-design paradigms.","2017-03","2022-03-04 19:25:11","2022-03-04 19:25:11","","122-134","","1","11","","J Neuropsychol","","","","","","","","eng","© 2015 The British Psychological Society.","","","","","","Place: England PMID: 26083786","","C:\Users\User\Zotero\storage\VE4SU68N\Dores et al. - 2017 - Study of behavioural and neural bases of visuo-spa.pdf","","Humans; Female; Male; Adult; Young Adult; Memory, Short-Term/*physiology; Neuropsychological Tests; *Magnetic Resonance Imaging; *behavioural performance; *Brain Mapping; *functional Magnetic Resonance Imaging (fMRI); *visuo-spatial n-back task; *visuo-spatial working memory; Brain/*diagnostic imaging; Discrimination, Psychological; Imaging, Three-Dimensional; Oxygen/blood; Photic Stimulation; Spatial Processing/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y55C82SD","journalArticle","2014","Manelis, Anna; Reder, Lynne M.","Effective connectivity among the working memory regions during preparation for and during performance of the n-back task.","Frontiers in human neuroscience","","1662-5161","10.3389/fnhum.2014.00593","","Recent neuroimaging studies have shown that working memory (WM) task difficulty can be decoded from patterns of brain activation in the WM network during preparation to  perform those tasks. The inter-regional connectivity among the WM regions during  task preparation has not yet been investigated. We examined this question using the  graph modeling methods IMaGES and LOFS, applied to the previously published fMRI  data of Manelis and Reder (2013). In that study, subjects performed 1-, 2-, and  3-back tasks. Each block of n-back was preceded by a preparation period and followed  by a rest period. The analyses of task-related brain activity identified a network  of 18 regions that increased in activation from 1- to 3-back (Increase network) and  a network of 17 regions that decreased in activation from 1- to 3-back (Decrease  network). The graph analyses revealed two types of connectivity sub-networks within  the Increase and Decrease networks: ""default"" and ""preparation-related."" The  ""default"" connectivity was present not only during task performance, but also during  task preparation and during rest. We propose that this sub-network may serve as a  core system that allows one to quickly activate cognitive, perceptual and motor  systems in response to the relevant stimuli. The ""preparation-related"" connectivity  was present during task preparation and task performance, but not at rest, and  depended on the n-back condition. The role of this sub-network may be to  pre-activate a connectivity ""road map"" in order to establish a top-down and  bottom-up regulation of attention prior to performance on WM tasks.","2014","2022-03-04 19:25:11","2022-03-04 19:25:11","","593","","","8","","Front Hum Neurosci","","","","","","","","eng","","","","","","","PMID: 25140143  PMCID: PMC4122182","","C:\Users\User\Zotero\storage\A9IEQWUV\Manelis and Reder - 2014 - Effective connectivity among the working memory re.pdf","","fMRI; connectivity; graph modeling; IMaGES; LOFS; task preparation; working memory; working memory network","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"52DSL7SG","journalArticle","2009","Hautzel, Hubertus; Mottaghy, Felix M.; Specht, Karsten; Müller, Hans-Wilhelm; Krause, Bernd J.","Evidence of a modality-dependent role of the cerebellum in working memory? An fMRI study comparing verbal and abstract n-back tasks.","NeuroImage","","1095-9572 1053-8119","10.1016/j.neuroimage.2009.06.005","","In working memory (WM), functional imaging studies demonstrate cerebellar involvement indicating a cognitive role of the cerebellum. These cognitive  contributions were predominantly interpreted as part of the phonological loop within  the Baddeley model of WM. However, those underlying investigations were performed in  the context of visual verbal WM which could pose a bias when interpreting the  results. The aim of this fMRI study was to address the question of whether the  cerebellum supports additional aspects of WM in the context of higher cognitive  functions. Furthermore, laterality effects were investigated to further disentangle  the cerebellar role in the context of the phonological loop and the visuospatial  sketchpad. A direct comparison of verbal and abstract visual WM was performed in 17  young volunteers by applying a 2-back paradigm and extracting the % change in BOLD  signal from the fMRI data. To minimize potential verbal strategies, Attneave and  Arnoult shapes of non-nameable objects were chosen for the abstract condition. The  analyses revealed no significant differences in verbal vs. abstract WM. Moreover, no  laterality effects were demonstrated in both verbal and abstract WM. These results  provide further evidence of a broader cognitive involvement of the cerebellum in WM  that is not only confined to the phonological loop but also supports central  executive subfunctions. The fact that no lateralization effects are found might be  attributed to the characteristics of the n-back paradigm which emphasizes central  executive subfunctions over the subsidiary slave systems.","2009-10-01","2022-03-04 19:25:11","2022-03-04 19:25:11","","2073-2082","","4","47","","Neuroimage","","","","","","","","eng","","","","","","","Place: United States PMID: 19524048","","","","Humans; Female; Male; Adult; Memory, Short-Term/*physiology; Brain Mapping/*methods; Cerebellum/*physiology; Language; Magnetic Resonance Imaging/*methods; Mental Recall/*physiology; Verbal Behavior/*physiology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8K9HBTMZ","journalArticle","2015","Jiang, Sisi; Yan, Hao; Chen, Qiang; Tian, Lin; Lu, Tianlan; Tan, Hao-Yang; Yan, Jun; Zhang, Dai","Cerebral Inefficient Activation in Schizophrenia Patients and Their Unaffected Parents during the N-Back Working Memory Task: A Family fMRI Study.","PloS one","","1932-6203","10.1371/journal.pone.0135468","","BACKGROUND: It has been suggested that working memory deficits is a core feature of symptomatology of schizophrenia, which can be detected in patients and their  unaffected relatives. The impairment of working memory has been found related to the  abnormal activity of human brain regions in many functional magnetic resonance  imaging (fMRI) studies. This study investigated how brain region activation was  altered in schizophrenia and how it was inherited independently from performance  deficits. METHOD: The authors used fMRI method during N-back task to assess working  memory related cortical activation in four groups (N = 20 in each group, matching  task performance, age, gender and education): schizophrenic patients, their  unaffected biological parents, young healthy controls for the patients and older  healthy controls for their parents. RESULTS: Compared to healthy controls, patients  showed an exaggerated response in the right dorsolateral prefrontal cortex (brodmann  area [BA] 46) and bilateral ventrolateral prefrontal cortex, and had reduced  activation in bilateral dorsolateral prefrontal cortex (BA 9). In the conjunction  analysis, the effect of genetic risk (parents versus older control) shared  significantly overlapped activation with effect of disease (patients versus young  control) in the right middle frontal gyrus (BA 46) and left inferior parietal gyrus  (BA 40). CONCLUSIONS: Physiological inefficiency of dorsal prefrontal cortex and  compensation involvement of ventral prefrontal cortex in working memory function may  one physiological characteristics of schizophrenia. And relatively inefficient  activation in dorsolateral prefrontal cortex probably can be a promising  intermediate phenotype for schizophrenia.","2015","2022-03-04 19:25:11","2022-03-04 19:25:11","","e0135468","","8","10","","PLoS One","","","","","","","","eng","","","","","","","PMID: 26270056  PMCID: PMC4536207","","C:\Users\User\Zotero\storage\DWV96CFG\Jiang et al. - 2015 - Cerebral Inefficient Activation in Schizophrenia P.pdf","","Humans; Female; Male; Adult; Middle Aged; Young Adult; Risk Factors; Memory, Short-Term/*physiology; Magnetic Resonance Imaging/*methods; Brain Mapping/methods; China/ethnology; Parents/*psychology; Prefrontal Cortex/*physiopathology; Schizophrenia/ethnology/*physiopathology; Schizophrenic Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WBTM9RJB","journalArticle","2019","Miró-Padilla, Anna; Bueichekú, Elisenda; Ventura-Campos, Noelia; Flores-Compañ, María-Jesús; Parcet, Maria Antònia; Ávila, César","Long-term brain effects of N-back training: an fMRI study.","Brain imaging and behavior","","1931-7565 1931-7557","10.1007/s11682-018-9925-x","","Neurobehavioral effects of cognitive training have become a popular research issue. Specifically, behavioral studies have demonstrated the long-term efficacy of  cognitive training of working memory functions, but the neural basis for this  training have been studied only at short-term. Using fMRI, we investigate the  cerebral changes produced by brief single n-back training immediately and 5 weeks  after finishing the training. We used the data from a sample of 52 participants who  were assigned to either an experimental condition (training group) or a no-contact  control condition. Both groups completed three fMRI sessions with the same n-back  task. Behavioral and brain effects were studied, comparing the conditions and  sessions in both groups. Our results showed that n-back training improved  performance in terms of accuracy and response speed in the trained group compared to  the control group. These behavioral changes in trained participants were associated  with decreased activation in various brain areas related to working memory,  specifically the frontal superior/middle cortex, inferior parietal cortex, anterior  cingulate cortex, and middle temporal cortex. Five weeks after training, the  behavioral and brain changes remained stable. We conclude that cognitive training  was associated with an improvement in behavioral performance and decreased brain  activation, suggesting better neural efficiency that persists over time.","2019-08","2022-03-04 19:25:11","2022-03-04 19:25:11","","1115-1127","","4","13","","Brain Imaging Behav","","","","","","","","eng","","","","","","","Place: United States PMID: 30006860","","C:\Users\User\Zotero\storage\ETEE55QA\Miró-Padilla et al. - 2019 - Long-term brain effects of N-back training an fMR.pdf","","Humans; Female; Male; Adult; Young Adult; Brain Mapping; Brain/physiology; Magnetic Resonance Imaging/methods; Memory, Short-Term/*physiology; Neuropsychological Tests; Reaction Time; fMRI; Cognition/*physiology; Cognitive training, long-term effects; Frontal Lobe/physiology; n-back; Parietal Lobe/physiology; Teaching/*psychology; Time; Working memory","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5LHH5TS6","journalArticle","2021","Verhallen, Anne M.; Renken, Remco J.; Marsman, Jan-Bernard C.; Ter Horst, Gert J.","Working Memory Alterations After a Romantic Relationship Breakup.","Frontiers in behavioral neuroscience","","1662-5153","10.3389/fnbeh.2021.657264","","Experiencing stress can have a disadvantageous effect on mental well-being. Additional to the relation between suffering from chronic stress and depression,  both stress (acute and chronic) and depression are associated with cognitive  alterations, including working memory. The breakup of a relationship is considered  to be a stressful event that can lead to symptoms of depression in otherwise healthy  people. Additional to elevated depression scores, stress-related cognitive  alterations may occur in this population as well. Therefore, in the present fMRI  study we investigated whether experiencing a relationship breakup is associated with  working memory alterations and whether this is related to depressive symptom  severity. A three workload version of the n-back task (0-back, 1-back, 2-back) was  used to measure working memory in subjects who experienced a breakup in the  preceding 6 months (""heartbreak group"", n = 70) and subjects in a romantic  relationship (""relationship group"", n = 46). Behavioral task performance was  compared between the two groups. Functional MRI scans were analyzed using General  Linear Model (GLM) activation analyses. Workload conditions were contrasted to each  other and to baseline and group differences were assessed. To investigate whether  brain networks are associated with depressive symptom severity within the heartbreak  group specifically, a post hoc feature-based Independent Component Analysis was  performed on the 2-back > 0-back contrast images to identify brain regions that  covaried across subjects. Behaviorally, the heartbreak group performed similar at  high workload (i.e., 2-back) and better at moderate workload (i.e., 1-back) than the  relationship group. GLM analysis revealed an interaction between group and 2-back >  0-back, 2-back > 1-back and 2-back > baseline; the heartbreak group showed less  precuneus activation compared to the relationship group. Furthermore, within the  heartbreak group, we found a negative association between depressive symptom  severity and a brain network representing mostly the precuneus, anterior cingulate  gyrus and supplementary motor cortex. Our findings suggest that the effect of a  breakup is accompanied by workload-dependent working memory alterations. Therefore,  we propose that this population can potentially be used to investigate the interplay  between stress, cognitive functioning and depression.","2021","2022-03-04 19:25:11","2022-03-04 19:25:11","","657264","","","15","","Front Behav Neurosci","","","","","","","","eng","Copyright © 2021 Verhallen, Renken, Marsman and ter Horst.","","","","","","PMID: 33897388  PMCID: PMC8062740","","C:\Users\User\Zotero\storage\ZXNKXKFY\Verhallen et al. - 2021 - Working Memory Alterations After a Romantic Relati.pdf","","working memory; depressive symptoms; n-back task; relationship breakup; task-based fMRI","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
